No,Congridae,Engraulidae,Clupeidae,Argentinidae,Myctophidae,Gadidae,Belonidae,Merluccidae,Centriscidae,Carangidae,Sparidae,Mugilidae,Labridae,Zoarcidae,Ammodytidae,Cottidae,Gobiidae,Scombridae,Callionymidae,Atherinidae,Berycidae,Bothidae,Pleuronectidae,Other_Fish,Sepiidae,Sepiolidae,Loliginidae,Ommastrephidae,Octopodidae,Other_Cephalopoda,Total
10TTR04,0,0,0,0,0,226.666,0,0,0,0,5610.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5837.087
115TTR00,0,0,0,0,0,930.915,0,15.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.38
122TTR00,0,0,0,0,0,479.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.2,0,0,655.743
124TTR00,0,0,0,0,0,25.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.195
13TTR04,0,0,33.845,0,0,0,0,0,0,0,83.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.34
144TTR01,0,0,0,0,0,0.055,0,0,0,0,197.248,0,0,0,0,0,0,0,0,131.711,0,0,0,0,0,0,0,0,0,0,329.014
148TTR01,0,0,0,0,0,2170.734,0,10104.358,0,2339.603,0,0,0,0,0,0,0,0,0,0,0,0,308.022,0,0,0,0,91.47,0,0,15014.187
149TTR01,0,0,0,0,0,518.423,0,7666.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8185.034
160TTR01,0,0,184.585,0,0,290.711,0,159.822,0,0,330.16,0,0,0,3.91,0,12.773,0,0,73.518,0,0,101.648,0,0,0,0,0,0,0,1157.127
162TTR00,0,0,0,0,0,12057.413,0,425.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12482.856
173TTR01,0,0,0,0,0,317.749,0,0,0,272.701,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,590.544
174TTR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1TTR04,0,0,0,0,0,23.648,0,617.39,0,0,0,0,0,0,0,0,11.558,0,0,0,0,0,0,0,0,0,0,0,0,0,652.596
202TTR02,0,0,0,0,0,0,0,0,0,0,40.898,0,0,0,16.345,0,0.827,0,0,5.458,0,0,0,0,0,0,0,0,0,0,63.528
216TTR02,0,0,0,0,0,182.992,0,0,0,104.372,108.976,0,0,0,0,0,0,0,0,30.565,0,0,0,0,0,0,0,0,0,0,426.905
217TTR02,0,0,0,0,0,20305.263,0,2032.76,0,4622.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26960.879
219TTR02,0,0,0,0,0,2445.972,0,1298.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744.776
274TTR03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287TTR03,0,0,0,0,0,7.74,0,18.161,0,0,25.188,0,0,0,0,0,3.803,0,0,0,0,0,0,0,0,0,0,0,0,0,54.892
3TTR04,0,0,0,0,0,941.707,0,1999.968,0,0,0,0,0,0,0,0,0,591.15,0,0,0,0,0,0,0,0,0,0,0,0,3532.825
5TTR04,0,0,0,0,0,652.988,0,155.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808.145
94TTR00,0,0,0,0,0,446.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.64
TT1,0,0,0,0,0,2741.935,0,957.188,0,234.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.883,0,4380.798
TT10,0,0,0,0,0,1060.635,0,5363.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6424.109
TT101,0,0,0,0,0,471.002,0,2126.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2597.878
TT102,0,0,0,23.976,0,1899.477,0,3348.368,0,1326.594,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,0,162.105,206.576,0,6973.916
TT103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.309,0,0,0,0,0,0,0,0,0,0,0,0,0,8.309
TT105,0,0,76.71,0,0,0,0,0,0,52.534,0,0,0,0,1595.005,0,35.266,0,0,0,0,0,0,0,0,0,0,0,0,0,1759.515
TT11,0,0,0,4265.103,0,10022.707,0,7659.992,0,2404.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24352.619
TT12,0,0,0,0,0,2055.886,0,2932.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4988.092
TT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT2,0,0,0,0,0,12620.298,0,782.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.475,0,203.412,0,0,13610.736
TT3,0,0,0,0,0,2577.85,0,1204.25,0,78.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.326,0,0,3973.312
TT301,0,0,0,0,0,132.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.638,0,354.569
TT303,0,0,0,0,0,7938.83,0,132.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8071.075
TT304,0,0,0,0,0,9251.41,0,380.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9632.279
TT305,0,0,0,0,0,6562.797,0,1852.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8415.086
TT4,0,0,0,0,0,1251.398,0,891.119,0,3578.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.543,0,0,5912.811
TT5,0,0,0,0,0,1821.104,0,24438.377,0,629.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26889.197
TT501,0,0,0,0,0,4672.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.122,0,0,2383.813,0,121.04,7231.749
TT502,0,0,0,0,0,391.328,0,29.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.951
TT503,0,0,0,0,0,59.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.461
TT504,0,0,0,0,0,29.922,0,22.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.897,0,0,140.443
TT505,0,0,0,0,0,262.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.845
TT506,0,0,0,0,0,1.12,0,0,0,701.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.099
TT507,0,0,0,0,0,845.939,0,1461.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307.66
TT508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.064
TT509,0,0,0,0,0,322.272,0,0,0,85.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.082,32.138,151.654,0,0,605.777
TT510,0,0,0,0,0,9179.777,0,1433.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.467,0,0,11121.585
TT511,0,0,0,0,0,7255.23,0,1876.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.601,0,0,9232.154
TT512,0,0,0,0,1.5,5383.856,0,0,0,330.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.514,5732.808
TT513,0,0,0,0,0,1746.574,0,1684.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.503,0,0,3623.997
TT514,0,0,0,0,0,1092.07,0,226.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.81,0,0,1529.444
TT515,0,0,0,0,0,13622.337,0,22526.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.665,0,36475.301
TT516,0,0,0,0,0,1679.528,0,5017.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6697.444
TT517,0,0,0,0,0,5389.425,0,561.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.332,0,0,6052.748
TT518,0,0,0,0,0,10512.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.167,0,0,10762.106
TT519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.366,0,0,0,0,0,0,0,29.366
TT520,0,0,0,0,0,16083.146,0,730.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.816,0,357.35,0,137.606,17312.279
TT521,0,0,0,0,2.001,13197.508,0,499.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.411,0,162.614,0,89.146,13952.936
TT522,0,0,0,0,0,4004.477,0,4134.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8138.698
TT523,0,0,0,30.656,0,805.304,0,334.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.912
TT524,0,0,0,0,0,13289.377,0,448.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13737.799
TT525,0,0,0,0,1,4809.812,0,558.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5369.285
TT526,0,0,0,0,0,1582.646,0,11530.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.919,0,13168.774
TT6,0,0,0,0,0,1513.191,0,1901.367,0,4.381,0,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0,0,0,0,3419.755
TT601,0,0,0,0,0,5093.555,0,7174.328,0,0,0,0,0,0,0,0,3.593,0,0,0,0,0,0,0,0,0,0,173.559,0,0,12445.035
TT602,0,0,0,0,0,13.282,0,427.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.107
TT603,0,0,0,0,0,666.346,0,142.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809.159
TT604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.922,0,0,0,0,0,0,0,0,0,0,644.922
TT605,0,0,0,0,0,718.413,0,246.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965.021
TT606,0,0,0,0,0,26447.852,0,490.091,0,0,0,0,0,0,0,0,0,613.614,0,0,0,0,0,0,0,0,0,0,0,0,27551.557
TT607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT7,0,0,0,0,0,557.238,0,323.938,0,440.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321.181
TT701,0,0,0,0,0,388.187,0,656.731,0,315.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.871,0,1722.162
TT702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT703,0,0,0,0,0,7683.791,0,398.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8082.164
TT704,0,0,0,0,0,635.087,0,16017.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.897,1253.001,0,17993.869
TT705,0,0,0,0,0,274.477,0,1910.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.601,403.429,0,2747.552
TT8,0,0,0,0,0,9215.482,0,312.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9527.792
TT9,0,0,0,0,0,5515.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5515.575
TTR901,0,0,0,0,0,0,0,0,0,280.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.35
